<2,<5,<10,>10%,>25%,>50%,>75%,total_voxels,avg_filled,med_filled,max,min,median,mean
0.14,0.32,0.49,0.06,0.02,0.01,0.0,512,0.03,0.01,2000,1,10,57.375
0.04,0.12,0.2,0.3,0.17,0.11,0.08,594,0.16,0.04,2000,1,71,316.25
0.03,0.11,0.2,0.31,0.17,0.11,0.08,594,0.16,0.04,2000,1,70,314.0
0.04,0.12,0.2,0.31,0.17,0.1,0.08,600,0.16,0.04,2000,1,71,314.0
0.03,0.11,0.19,0.31,0.17,0.1,0.08,588,0.15,0.04,2000,1,71,308.0
0.03,0.12,0.22,0.31,0.16,0.1,0.07,601,0.15,0.03,2000,1,69,296.5
0.04,0.12,0.21,0.31,0.16,0.1,0.07,599,0.15,0.03,2000,1,68,293.0
0.05,0.14,0.23,0.31,0.16,0.1,0.07,598,0.15,0.03,2000,1,67,291.25
0.05,0.13,0.2,0.31,0.16,0.1,0.07,601,0.15,0.03,2000,1,69,291.5
0.04,0.11,0.19,0.31,0.16,0.1,0.07,600,0.15,0.04,2000,1,73,297.75
0.04,0.1,0.17,0.32,0.17,0.1,0.08,590,0.16,0.04,2000,1,72,313.5
0.03,0.13,0.19,0.32,0.18,0.11,0.08,603,0.16,0.04,2000,1,70,313.5
0.04,0.14,0.22,0.31,0.17,0.11,0.08,636,0.15,0.03,2000,1,63,303.5
0.04,0.13,0.2,0.3,0.17,0.11,0.07,637,0.15,0.03,2000,1,63,300.5
0.05,0.13,0.2,0.3,0.16,0.11,0.07,646,0.15,0.03,2000,1,65,293.75
0.05,0.13,0.21,0.3,0.16,0.1,0.07,653,0.15,0.03,2000,1,60,290.5
0.04,0.14,0.23,0.29,0.15,0.1,0.07,669,0.14,0.03,2000,1,62,285.75
0.04,0.13,0.21,0.3,0.16,0.11,0.07,650,0.15,0.03,2000,1,62,292.75
0.05,0.13,0.22,0.29,0.15,0.1,0.06,665,0.14,0.03,2000,1,60,281.75
0.03,0.13,0.21,0.29,0.15,0.1,0.06,668,0.14,0.03,2000,1,61,280.5
0.04,0.12,0.21,0.3,0.16,0.1,0.06,652,0.14,0.03,2000,1,61,282.25
0.03,0.11,0.19,0.29,0.16,0.1,0.07,644,0.14,0.03,2000,1,60,287.0
0.04,0.1,0.17,0.29,0.16,0.1,0.06,646,0.14,0.03,2000,1,66,280.25
0.02,0.09,0.17,0.29,0.16,0.1,0.06,631,0.14,0.04,2000,1,70,285.0
0.05,0.14,0.22,0.28,0.15,0.09,0.06,621,0.14,0.03,2000,1,60,282.5
0.03,0.11,0.19,0.29,0.15,0.1,0.07,621,0.14,0.03,2000,1,67,282.25
0.06,0.15,0.23,0.29,0.15,0.09,0.06,626,0.14,0.03,2000,1,62,279.75
0.04,0.12,0.19,0.31,0.16,0.1,0.06,609,0.14,0.03,2000,1,66,284.75
0.04,0.12,0.2,0.28,0.15,0.09,0.06,654,0.13,0.03,2000,1,51,263.0
0.04,0.12,0.19,0.29,0.14,0.08,0.05,645,0.13,0.03,2000,1,60,260.5
0.05,0.14,0.23,0.28,0.13,0.08,0.06,658,0.13,0.03,2000,1,54,252.75
0.04,0.13,0.22,0.27,0.13,0.08,0.07,655,0.13,0.03,2000,1,56,257.75
0.06,0.14,0.23,0.27,0.13,0.08,0.06,670,0.13,0.03,2000,1,56,259.0
0.06,0.14,0.23,0.26,0.13,0.08,0.06,672,0.13,0.03,2000,1,54,255.0
0.06,0.15,0.21,0.24,0.13,0.08,0.06,703,0.12,0.02,2000,1,47,239.75
0.08,0.18,0.27,0.22,0.12,0.07,0.06,740,0.11,0.02,2000,1,45,227.5
0.06,0.15,0.25,0.23,0.12,0.07,0.06,702,0.12,0.02,2000,1,44,234.625
0.06,0.2,0.27,0.21,0.12,0.08,0.06,695,0.12,0.02,2000,1,47,238.375
0.06,0.16,0.24,0.23,0.12,0.09,0.07,680,0.12,0.03,2000,1,52,249.625
0.05,0.14,0.25,0.21,0.12,0.09,0.07,693,0.13,0.02,2000,1,45,250.5
0.13,0.34,0.53,0.08,0.02,0.01,0.0,499,0.03,0.0,2000,1,9,62.71875
0.06,0.16,0.25,0.26,0.16,0.1,0.08,645,0.14,0.02,2000,1,48,287.0
0.05,0.17,0.26,0.24,0.15,0.1,0.08,674,0.14,0.02,2000,1,45,275.5
0.06,0.15,0.25,0.25,0.16,0.1,0.08,672,0.14,0.02,2000,1,44,276.5
0.06,0.16,0.23,0.27,0.16,0.1,0.08,656,0.14,0.02,2000,1,50,288.0
0.07,0.16,0.26,0.28,0.17,0.1,0.07,681,0.14,0.02,2000,1,50,286.75
0.07,0.17,0.23,0.27,0.17,0.1,0.07,697,0.15,0.03,2000,1,55,291.5
0.04,0.15,0.23,0.26,0.17,0.11,0.07,717,0.14,0.02,2000,1,46,287.0
0.06,0.16,0.24,0.26,0.16,0.11,0.08,727,0.14,0.03,2000,1,52,284.5
0.07,0.17,0.27,0.24,0.14,0.09,0.07,803,0.13,0.02,2000,1,38,259.75
0.06,0.17,0.27,0.22,0.13,0.09,0.07,840,0.12,0.02,2000,1,34,246.5
0.07,0.14,0.23,0.23,0.13,0.09,0.07,837,0.13,0.02,2000,1,47,253.75
0.06,0.14,0.22,0.23,0.13,0.08,0.06,855,0.12,0.02,2000,1,43,247.25
0.06,0.14,0.23,0.24,0.13,0.08,0.06,838,0.12,0.03,2000,1,53,247.125
0.06,0.15,0.22,0.23,0.13,0.07,0.05,863,0.12,0.02,2000,1,48,232.0
0.07,0.14,0.23,0.25,0.13,0.07,0.05,852,0.12,0.03,2000,1,53,236.375
0.06,0.15,0.23,0.25,0.12,0.07,0.05,851,0.11,0.03,2000,1,53,227.875
0.06,0.14,0.2,0.25,0.11,0.07,0.05,829,0.12,0.03,2000,1,65,231.375
0.04,0.11,0.19,0.26,0.11,0.06,0.05,814,0.12,0.04,2000,1,72,235.25
0.04,0.1,0.17,0.27,0.11,0.07,0.05,784,0.12,0.04,2000,1,79,244.25
0.04,0.12,0.17,0.27,0.12,0.06,0.04,802,0.12,0.04,2000,1,72,235.25
0.04,0.1,0.17,0.27,0.12,0.06,0.05,794,0.12,0.04,2000,1,77,237.75
0.04,0.1,0.15,0.28,0.12,0.06,0.05,772,0.12,0.04,2000,1,85,243.875
0.03,0.1,0.18,0.27,0.12,0.06,0.04,793,0.12,0.04,2000,1,76,234.5
0.04,0.1,0.16,0.27,0.12,0.06,0.05,783,0.12,0.04,2000,1,79,238.125
0.04,0.11,0.19,0.25,0.11,0.06,0.05,798,0.12,0.04,2000,1,72,232.875
0.07,0.13,0.23,0.25,0.1,0.06,0.04,858,0.11,0.03,2000,1,61,216.625
0.05,0.16,0.24,0.22,0.09,0.06,0.04,979,0.1,0.02,2000,1,47,196.875
0.06,0.16,0.24,0.26,0.11,0.06,0.04,892,0.11,0.03,2000,1,60,224.875
0.05,0.15,0.24,0.24,0.1,0.06,0.05,985,0.11,0.02,2000,1,49,212.125
