<2,<5,<10,>10%,>25%,>50%,>75%,total_voxels,avg_filled,med_filled,max,min,median,mean
0.13,0.31,0.47,0.02,0.01,0.0,0.0,522,0.01,0.0,5500,1,11,75.125
0.04,0.11,0.19,0.16,0.09,0.04,0.02,603,0.08,0.01,5500,1,72,424.5
0.02,0.1,0.19,0.16,0.09,0.04,0.02,601,0.08,0.01,5500,1,70,426.0
0.03,0.11,0.19,0.15,0.09,0.04,0.02,604,0.08,0.01,5500,1,69,423.5
0.03,0.11,0.19,0.14,0.08,0.04,0.02,620,0.07,0.01,5500,1,73,403.25
0.03,0.12,0.21,0.14,0.07,0.04,0.02,633,0.07,0.01,5500,1,69,382.5
0.04,0.11,0.2,0.14,0.07,0.03,0.02,631,0.07,0.01,5500,1,68,372.25
0.04,0.14,0.23,0.13,0.07,0.03,0.02,630,0.07,0.01,5500,1,68,362.5
0.05,0.13,0.19,0.15,0.07,0.04,0.02,591,0.07,0.01,5500,1,71,391.75
0.03,0.11,0.18,0.15,0.08,0.04,0.03,592,0.07,0.01,5500,1,74,410.75
0.04,0.1,0.17,0.16,0.08,0.04,0.03,578,0.08,0.01,5500,1,72,434.0
0.03,0.13,0.19,0.17,0.08,0.04,0.02,591,0.08,0.01,5500,1,70,428.75
0.04,0.14,0.22,0.16,0.08,0.04,0.02,619,0.08,0.01,5500,1,67,412.75
0.04,0.13,0.2,0.16,0.08,0.04,0.02,621,0.07,0.01,5500,1,64,407.5
0.05,0.13,0.21,0.16,0.07,0.04,0.02,629,0.07,0.01,5500,1,65,396.75
0.05,0.13,0.21,0.16,0.08,0.03,0.02,638,0.07,0.01,5500,1,63,388.5
0.03,0.12,0.23,0.15,0.08,0.03,0.02,644,0.07,0.01,5500,1,64,386.0
0.04,0.12,0.2,0.15,0.08,0.04,0.02,625,0.07,0.01,5500,1,62,391.5
0.05,0.13,0.22,0.14,0.07,0.03,0.02,644,0.07,0.01,5500,1,61,378.25
0.03,0.12,0.21,0.14,0.07,0.03,0.02,648,0.07,0.01,5500,1,62,373.75
0.04,0.12,0.22,0.15,0.07,0.03,0.02,650,0.07,0.01,5500,1,61,367.75
0.03,0.11,0.19,0.15,0.08,0.03,0.02,641,0.07,0.01,5500,1,62,374.0
0.04,0.1,0.17,0.14,0.07,0.04,0.02,643,0.07,0.01,5500,1,67,375.75
0.03,0.09,0.17,0.15,0.07,0.03,0.02,628,0.07,0.01,5500,1,72,375.75
0.05,0.13,0.22,0.14,0.07,0.03,0.02,631,0.07,0.01,5500,1,61,366.75
0.03,0.11,0.19,0.14,0.07,0.03,0.02,632,0.07,0.01,5500,1,67,362.0
0.05,0.14,0.22,0.14,0.07,0.03,0.02,634,0.07,0.01,5500,1,63,358.5
0.04,0.12,0.19,0.15,0.07,0.03,0.02,621,0.07,0.01,5500,1,66,363.75
0.03,0.12,0.21,0.14,0.07,0.03,0.02,652,0.06,0.01,5500,1,51,342.5
0.04,0.11,0.19,0.13,0.07,0.03,0.02,648,0.06,0.01,5500,1,59,352.25
0.04,0.14,0.23,0.12,0.07,0.02,0.02,664,0.06,0.01,5500,1,55,334.0
0.04,0.13,0.22,0.12,0.07,0.03,0.02,664,0.06,0.01,5500,1,56,343.25
0.06,0.14,0.23,0.11,0.07,0.03,0.02,661,0.06,0.01,5500,1,56,342.5
