<2,<5,<10,>10%,>25%,>50%,>75%,total_voxels,avg_filled,med_filled,max,min,median,mean
0.13,0.32,0.49,0.02,0.01,0.0,0.0,537,0.02,0.0,4500,1,10,69.1875
0.04,0.12,0.21,0.18,0.1,0.05,0.03,618,0.09,0.02,4500,1,70,394.0
0.03,0.11,0.21,0.18,0.1,0.06,0.03,618,0.09,0.02,4500,1,69,394.0
0.03,0.12,0.21,0.17,0.1,0.05,0.03,619,0.09,0.01,4500,1,67,391.5
0.03,0.12,0.19,0.18,0.1,0.05,0.03,589,0.09,0.02,4500,1,73,404.0
0.03,0.12,0.22,0.17,0.09,0.05,0.03,602,0.09,0.02,4500,1,69,384.25
0.04,0.12,0.21,0.17,0.09,0.05,0.03,600,0.08,0.02,4500,1,69,373.75
0.05,0.14,0.23,0.17,0.1,0.04,0.03,599,0.08,0.02,4500,1,69,365.0
0.05,0.13,0.2,0.17,0.09,0.05,0.03,595,0.08,0.02,4500,1,70,371.0
0.03,0.11,0.19,0.16,0.09,0.05,0.03,594,0.09,0.02,4500,1,74,387.75
0.04,0.1,0.17,0.18,0.1,0.05,0.03,584,0.09,0.02,4500,1,76,409.0
0.03,0.13,0.19,0.18,0.1,0.05,0.03,597,0.09,0.02,4500,1,70,406.5
0.03,0.14,0.21,0.19,0.1,0.05,0.03,605,0.09,0.02,4500,1,69,402.25
0.03,0.12,0.19,0.18,0.1,0.05,0.03,607,0.09,0.02,4500,1,69,397.5
0.04,0.12,0.2,0.18,0.1,0.04,0.03,615,0.09,0.02,4500,1,68,386.75
0.05,0.12,0.2,0.17,0.1,0.04,0.02,637,0.08,0.01,4500,1,63,371.75
0.03,0.13,0.23,0.17,0.09,0.04,0.02,648,0.08,0.01,4500,1,63,359.25
0.04,0.12,0.2,0.17,0.1,0.04,0.02,629,0.08,0.01,4500,1,62,369.75
0.05,0.12,0.22,0.17,0.09,0.04,0.03,646,0.08,0.01,4500,1,61,358.0
0.03,0.12,0.2,0.16,0.09,0.04,0.03,659,0.08,0.01,4500,1,63,353.0
0.05,0.13,0.22,0.17,0.09,0.04,0.02,641,0.08,0.01,4500,1,60,351.5
0.03,0.12,0.19,0.17,0.1,0.04,0.02,631,0.08,0.01,4500,1,60,357.75
0.04,0.11,0.17,0.17,0.09,0.04,0.03,635,0.08,0.01,4500,1,63,355.75
0.03,0.1,0.17,0.17,0.08,0.04,0.03,620,0.08,0.02,4500,1,69,357.75
0.05,0.14,0.23,0.17,0.09,0.04,0.03,631,0.08,0.01,4500,1,56,349.75
0.03,0.12,0.2,0.16,0.09,0.03,0.03,632,0.08,0.01,4500,1,62,345.25
0.06,0.15,0.24,0.16,0.08,0.04,0.03,636,0.08,0.01,4500,1,58,340.5
0.04,0.13,0.2,0.17,0.09,0.04,0.02,622,0.08,0.01,4500,1,61,346.0
0.04,0.13,0.21,0.16,0.08,0.03,0.02,662,0.07,0.01,4500,1,52,326.5
0.05,0.12,0.2,0.16,0.08,0.04,0.02,649,0.07,0.01,4500,1,67,333.5
0.05,0.14,0.23,0.14,0.08,0.04,0.02,661,0.07,0.01,4500,1,60,319.0
0.05,0.14,0.23,0.14,0.08,0.04,0.02,661,0.07,0.01,4500,1,60,323.5
0.06,0.14,0.23,0.14,0.08,0.05,0.02,646,0.08,0.01,4500,1,59,337.5
0.05,0.14,0.22,0.14,0.08,0.04,0.02,648,0.07,0.01,4500,1,60,331.5
0.06,0.15,0.21,0.14,0.07,0.04,0.03,680,0.07,0.01,4500,1,48,319.25
0.07,0.18,0.27,0.13,0.07,0.04,0.03,719,0.07,0.01,4500,1,47,308.0
0.06,0.14,0.25,0.13,0.06,0.04,0.03,727,0.07,0.01,4500,1,49,312.5
0.06,0.19,0.26,0.13,0.07,0.05,0.03,717,0.07,0.01,4500,1,50,315.75
0.06,0.16,0.24,0.13,0.08,0.04,0.03,709,0.07,0.01,4500,1,55,316.5
