<2,<5,<10,>10%,>25%,>50%,>75%,total_voxels,avg_filled,med_filled,max,min,median,mean
0.04,0.11,0.19,0.59,0.39,0.23,0.15,823,0.29,0.15,500,1,75,146.75
0.07,0.13,0.22,0.55,0.36,0.21,0.14,869,0.28,0.13,500,1,67,139.875
0.05,0.16,0.24,0.5,0.32,0.19,0.12,980,0.25,0.1,500,1,51,126.1875
0.06,0.16,0.24,0.54,0.36,0.2,0.14,898,0.27,0.12,500,1,60,136.875
0.06,0.15,0.24,0.5,0.33,0.19,0.13,1004,0.26,0.1,500,1,50,128.625
0.08,0.18,0.27,0.48,0.31,0.2,0.13,1062,0.25,0.09,500,1,44,124.5
0.05,0.16,0.27,0.46,0.3,0.19,0.13,1114,0.25,0.08,500,1,40,122.625
0.05,0.12,0.2,0.55,0.36,0.23,0.16,983,0.29,0.14,500,1,68,143.75
0.06,0.13,0.22,0.53,0.37,0.22,0.15,1009,0.29,0.12,500,1,60,142.875
0.04,0.12,0.21,0.53,0.34,0.21,0.15,1005,0.28,0.12,500,1,61,140.625
0.05,0.14,0.21,0.54,0.35,0.21,0.15,1014,0.28,0.12,500,1,60,140.25
0.05,0.14,0.21,0.53,0.36,0.21,0.15,999,0.28,0.13,500,1,65,141.5
0.06,0.15,0.24,0.54,0.36,0.23,0.17,973,0.29,0.12,500,1,60,144.375
0.05,0.14,0.21,0.53,0.33,0.22,0.16,998,0.28,0.11,500,1,57,140.0
0.06,0.16,0.24,0.51,0.32,0.22,0.17,1025,0.27,0.11,500,1,53,137.375
0.11,0.28,0.45,0.16,0.07,0.02,0.01,711,0.07,0.02,500,1,12,34.8125
0.07,0.17,0.24,0.49,0.32,0.21,0.14,968,0.26,0.1,500,1,48,130.5
0.04,0.14,0.22,0.51,0.34,0.22,0.16,1028,0.28,0.11,500,1,53,139.125
0.07,0.16,0.22,0.52,0.34,0.21,0.15,1015,0.28,0.12,500,1,59,138.625
0.05,0.14,0.23,0.51,0.36,0.22,0.15,1014,0.28,0.11,500,1,53,139.375
0.05,0.13,0.21,0.52,0.32,0.21,0.15,1043,0.27,0.11,500,1,54,135.875
0.05,0.13,0.22,0.49,0.3,0.19,0.15,1121,0.25,0.1,500,1,48,126.8125
0.05,0.15,0.22,0.51,0.35,0.22,0.15,1030,0.27,0.1,500,1,52,137.5
0.05,0.13,0.21,0.53,0.34,0.22,0.16,1030,0.28,0.11,500,1,55,139.375
0.04,0.11,0.19,0.54,0.35,0.23,0.16,992,0.29,0.12,500,1,62,143.875
0.04,0.12,0.2,0.54,0.34,0.21,0.16,979,0.28,0.12,500,1,62,141.75
0.05,0.12,0.19,0.53,0.33,0.21,0.16,976,0.28,0.12,500,1,59,139.375
0.04,0.12,0.19,0.53,0.33,0.22,0.15,960,0.28,0.12,500,1,58,138.375
0.05,0.13,0.21,0.53,0.33,0.22,0.16,938,0.28,0.12,500,1,61,141.75
0.05,0.13,0.19,0.55,0.37,0.23,0.17,897,0.3,0.13,500,1,64,150.125
0.04,0.11,0.19,0.57,0.39,0.26,0.19,879,0.32,0.15,500,1,75,158.5
0.05,0.12,0.19,0.58,0.42,0.28,0.2,866,0.33,0.16,500,1,78,166.25
0.04,0.13,0.21,0.57,0.41,0.29,0.22,856,0.34,0.15,500,1,73,170.25
0.05,0.12,0.19,0.54,0.39,0.27,0.21,894,0.32,0.13,500,1,65,162.25
0.05,0.13,0.22,0.54,0.37,0.26,0.2,925,0.31,0.12,500,1,61,156.125
0.04,0.12,0.2,0.54,0.35,0.25,0.19,933,0.3,0.12,500,1,62,150.625
0.06,0.13,0.2,0.55,0.36,0.24,0.17,924,0.3,0.13,500,1,64,148.875
0.05,0.14,0.2,0.54,0.35,0.23,0.17,947,0.29,0.13,500,1,63,144.875
0.04,0.1,0.17,0.57,0.39,0.25,0.19,888,0.32,0.15,500,1,74,158.5
0.05,0.12,0.19,0.57,0.37,0.25,0.2,922,0.31,0.15,500,1,75,157.25
0.05,0.12,0.18,0.58,0.36,0.24,0.17,944,0.3,0.14,500,1,70,151.875
0.05,0.13,0.19,0.54,0.34,0.21,0.15,1031,0.28,0.12,500,1,59,138.625
0.04,0.1,0.16,0.55,0.34,0.21,0.14,1073,0.27,0.12,500,1,61,136.625
0.04,0.1,0.18,0.57,0.33,0.2,0.14,1126,0.27,0.13,500,1,66,136.375
0.04,0.11,0.18,0.56,0.35,0.21,0.15,1119,0.28,0.13,500,1,67,141.875
0.04,0.12,0.19,0.58,0.36,0.24,0.17,1072,0.3,0.15,500,1,73,148.75
0.04,0.12,0.19,0.58,0.39,0.26,0.18,1062,0.31,0.15,500,1,74,155.25
0.05,0.14,0.22,0.54,0.36,0.23,0.16,1134,0.29,0.12,500,1,61,144.5
0.05,0.13,0.21,0.55,0.36,0.24,0.16,1018,0.29,0.13,500,1,65,147.125
0.05,0.13,0.2,0.53,0.34,0.21,0.15,944,0.27,0.11,500,1,57,137.125
0.05,0.13,0.22,0.5,0.34,0.21,0.16,849,0.27,0.1,500,1,51,136.75
0.05,0.13,0.23,0.5,0.31,0.2,0.14,1010,0.26,0.1,500,1,49,129.625
0.05,0.13,0.21,0.53,0.35,0.21,0.15,1067,0.28,0.12,500,1,60,137.625
0.04,0.14,0.22,0.52,0.32,0.21,0.14,1199,0.26,0.11,500,1,54,131.875
0.04,0.1,0.18,0.56,0.35,0.21,0.16,1117,0.29,0.13,500,1,63,143.25
0.09,0.21,0.36,0.2,0.08,0.03,0.02,612,0.08,0.03,500,1,17,42.03125
0.05,0.11,0.18,0.56,0.39,0.27,0.19,900,0.32,0.15,500,1,73,160.25
0.04,0.12,0.21,0.55,0.41,0.27,0.19,903,0.32,0.14,500,1,68,160.25
0.04,0.1,0.18,0.59,0.39,0.26,0.19,896,0.32,0.15,500,1,75,161.125
0.04,0.1,0.17,0.57,0.38,0.25,0.19,939,0.31,0.15,500,1,73,157.375
0.04,0.11,0.19,0.53,0.36,0.26,0.18,943,0.3,0.12,500,1,60,152.5
0.04,0.13,0.2,0.5,0.31,0.21,0.16,1054,0.27,0.1,500,1,50,134.625
0.05,0.12,0.19,0.55,0.34,0.21,0.16,974,0.28,0.13,500,1,65,141.75
0.06,0.14,0.21,0.49,0.3,0.18,0.13,1096,0.25,0.1,500,1,49,124.8125
0.05,0.11,0.19,0.55,0.33,0.19,0.14,993,0.27,0.13,500,1,64,134.5
0.05,0.15,0.24,0.49,0.31,0.18,0.13,1110,0.25,0.09,500,1,46,123.5
0.04,0.1,0.19,0.56,0.37,0.21,0.16,975,0.29,0.15,500,1,73,144.0
0.04,0.12,0.2,0.56,0.38,0.23,0.16,960,0.3,0.14,500,1,69,148.125
0.04,0.11,0.19,0.59,0.4,0.24,0.16,906,0.31,0.16,500,1,79,153.375
0.05,0.12,0.2,0.55,0.36,0.23,0.16,960,0.29,0.12,500,1,61,144.625
0.05,0.12,0.21,0.56,0.39,0.24,0.17,898,0.3,0.14,500,1,71,152.0
0.05,0.13,0.21,0.55,0.34,0.22,0.16,958,0.28,0.12,500,1,62,141.5
0.05,0.13,0.22,0.51,0.3,0.2,0.15,1001,0.26,0.11,500,1,54,130.5
0.05,0.12,0.2,0.53,0.33,0.21,0.16,907,0.28,0.12,500,1,59,138.125
0.05,0.15,0.25,0.44,0.3,0.19,0.14,954,0.25,0.07,500,1,37,124.375
0.04,0.16,0.23,0.46,0.31,0.21,0.17,799,0.27,0.08,500,1,42,135.5
0.07,0.14,0.22,0.52,0.38,0.25,0.2,664,0.31,0.11,500,1,57,156.125
0.04,0.12,0.2,0.54,0.39,0.26,0.22,616,0.33,0.13,500,1,65,162.5
0.05,0.13,0.23,0.53,0.39,0.26,0.2,622,0.32,0.12,500,1,60,157.875
