<2,<5,<10,>10%,>25%,>50%,>75%,total_voxels,avg_filled,med_filled,max,min,median,mean
0.14,0.33,0.49,0.08,0.03,0.01,0.01,530,0.04,0.01,1500,1,10,55.3125
0.04,0.13,0.21,0.36,0.2,0.14,0.1,612,0.18,0.05,1500,1,69,275.5
0.03,0.12,0.2,0.36,0.2,0.14,0.1,611,0.18,0.04,1500,1,67,272.75
0.04,0.13,0.21,0.36,0.2,0.13,0.1,613,0.18,0.04,1500,1,66,268.5
0.03,0.12,0.19,0.37,0.2,0.14,0.1,592,0.18,0.05,1500,1,73,273.25
0.03,0.12,0.21,0.36,0.19,0.13,0.09,605,0.18,0.05,1500,1,69,264.75
0.04,0.12,0.2,0.37,0.19,0.13,0.09,603,0.18,0.05,1500,1,68,264.0
0.05,0.14,0.23,0.37,0.2,0.13,0.09,602,0.18,0.05,1500,1,68,263.25
0.04,0.13,0.2,0.37,0.19,0.12,0.09,605,0.17,0.04,1500,1,67,259.25
0.03,0.11,0.19,0.37,0.18,0.12,0.09,607,0.17,0.05,1500,1,70,262.0
0.04,0.1,0.17,0.37,0.2,0.14,0.1,590,0.18,0.05,1500,1,70,276.75
0.03,0.13,0.2,0.37,0.2,0.14,0.1,615,0.18,0.04,1500,1,67,273.75
0.04,0.14,0.22,0.36,0.21,0.14,0.1,614,0.19,0.05,1500,1,68,278.0
0.04,0.13,0.2,0.35,0.2,0.14,0.1,616,0.18,0.04,1500,1,67,276.25
0.05,0.13,0.21,0.35,0.19,0.14,0.1,625,0.18,0.04,1500,1,65,271.25
0.05,0.13,0.21,0.36,0.19,0.13,0.1,636,0.18,0.04,1500,1,62,269.0
0.04,0.13,0.23,0.36,0.2,0.14,0.1,628,0.18,0.04,1500,1,65,269.25
0.04,0.12,0.21,0.37,0.2,0.13,0.1,608,0.19,0.04,1500,1,63,278.0
0.05,0.13,0.22,0.34,0.2,0.13,0.09,628,0.18,0.04,1500,1,64,264.25
0.03,0.13,0.21,0.35,0.19,0.13,0.1,637,0.17,0.04,1500,1,63,261.75
0.05,0.13,0.22,0.35,0.19,0.13,0.09,641,0.17,0.04,1500,1,60,258.0
0.03,0.12,0.2,0.34,0.19,0.12,0.1,631,0.17,0.04,1500,1,59,261.25
0.04,0.11,0.17,0.35,0.19,0.12,0.09,635,0.17,0.04,1500,1,63,255.75
0.03,0.1,0.18,0.34,0.2,0.12,0.08,619,0.17,0.05,1500,1,70,260.75
0.05,0.14,0.22,0.33,0.2,0.12,0.08,642,0.17,0.04,1500,1,54,247.625
0.03,0.12,0.19,0.33,0.2,0.12,0.08,642,0.17,0.04,1500,1,61,248.0
0.06,0.15,0.23,0.35,0.18,0.11,0.08,646,0.16,0.04,1500,1,57,245.625
0.04,0.13,0.2,0.36,0.18,0.12,0.08,630,0.17,0.04,1500,1,63,250.875
0.04,0.13,0.21,0.34,0.17,0.11,0.08,650,0.16,0.03,1500,1,50,240.375
0.05,0.12,0.19,0.33,0.18,0.11,0.07,643,0.16,0.04,1500,1,60,236.875
0.04,0.14,0.23,0.34,0.16,0.09,0.07,655,0.15,0.04,1500,1,54,228.375
0.04,0.13,0.23,0.33,0.16,0.09,0.08,655,0.15,0.04,1500,1,56,229.5
0.06,0.14,0.23,0.33,0.16,0.1,0.08,692,0.15,0.04,1500,1,57,224.25
0.06,0.14,0.23,0.31,0.15,0.1,0.08,694,0.15,0.04,1500,1,54,222.625
0.06,0.14,0.21,0.28,0.15,0.09,0.07,724,0.14,0.03,1500,1,48,208.875
0.07,0.18,0.26,0.26,0.14,0.08,0.06,764,0.13,0.03,1500,1,45,197.125
0.05,0.15,0.26,0.27,0.14,0.09,0.07,703,0.14,0.03,1500,1,44,204.375
0.06,0.19,0.27,0.27,0.14,0.09,0.07,701,0.14,0.03,1500,1,47,207.125
0.06,0.16,0.24,0.27,0.14,0.09,0.08,686,0.14,0.03,1500,1,52,217.25
0.05,0.15,0.26,0.27,0.15,0.1,0.08,683,0.14,0.03,1500,1,45,216.75
0.13,0.34,0.53,0.1,0.03,0.01,0.0,502,0.04,0.01,1500,1,8,56.03125
0.06,0.16,0.25,0.3,0.18,0.12,0.09,640,0.17,0.03,1500,1,48,248.625
0.06,0.17,0.26,0.29,0.17,0.12,0.1,665,0.16,0.03,1500,1,45,241.875
