<2,<5,<10,>10%,>25%,>50%,>75%,total_voxels,avg_filled,med_filled,max,min,median,mean
0.13,0.32,0.48,0.01,0.0,0.0,0.0,528,0.01,0.0,5006,1,11,71.625
0.04,0.12,0.2,0.15,0.08,0.03,0.02,610,0.07,0.01,6000,1,73,423.75
0.03,0.11,0.2,0.15,0.08,0.03,0.02,609,0.07,0.01,6000,1,71,424.5
0.03,0.12,0.2,0.14,0.08,0.04,0.02,612,0.07,0.01,6000,1,71,422.0
0.03,0.11,0.18,0.15,0.08,0.04,0.02,590,0.07,0.01,6000,1,72,428.0
0.03,0.12,0.21,0.14,0.07,0.03,0.02,603,0.07,0.01,6000,1,69,405.5
0.04,0.11,0.2,0.14,0.07,0.03,0.02,601,0.07,0.01,6000,1,68,394.75
0.05,0.14,0.23,0.14,0.07,0.03,0.02,600,0.06,0.01,6000,1,68,384.5
0.04,0.12,0.19,0.14,0.07,0.03,0.02,610,0.07,0.01,6000,1,71,390.0
0.03,0.1,0.17,0.14,0.07,0.03,0.02,611,0.07,0.01,6000,1,74,409.0
0.04,0.09,0.16,0.15,0.08,0.03,0.02,601,0.07,0.01,6000,1,76,429.5
0.03,0.12,0.18,0.15,0.08,0.04,0.02,614,0.07,0.01,6000,1,70,423.5
0.04,0.13,0.21,0.15,0.08,0.03,0.02,631,0.07,0.01,6000,1,69,413.75
0.04,0.12,0.19,0.15,0.07,0.03,0.02,633,0.07,0.01,6000,1,69,408.25
0.05,0.12,0.2,0.14,0.07,0.03,0.02,643,0.07,0.01,6000,1,67,396.75
0.04,0.12,0.2,0.15,0.07,0.03,0.02,652,0.06,0.01,6000,1,63,389.0
0.03,0.13,0.23,0.14,0.07,0.03,0.02,674,0.06,0.01,6000,1,61,375.0
0.04,0.12,0.2,0.14,0.07,0.03,0.02,655,0.06,0.01,6000,1,61,386.5
0.05,0.13,0.22,0.14,0.06,0.03,0.02,674,0.06,0.01,6000,1,60,373.5
0.03,0.13,0.2,0.14,0.06,0.03,0.02,678,0.06,0.01,6000,1,61,368.75
0.05,0.14,0.23,0.14,0.06,0.03,0.02,657,0.06,0.01,6000,1,58,368.25
0.04,0.13,0.21,0.14,0.07,0.03,0.02,648,0.06,0.01,6000,1,57,374.0
0.04,0.12,0.19,0.13,0.06,0.03,0.02,661,0.06,0.01,6000,1,62,372.75
0.03,0.11,0.19,0.14,0.06,0.03,0.02,647,0.06,0.01,6000,1,68,371.25
0.05,0.14,0.23,0.13,0.06,0.03,0.02,634,0.06,0.01,6000,1,57,370.75
0.03,0.11,0.19,0.14,0.07,0.03,0.02,632,0.06,0.01,6000,1,66,367.75
0.06,0.15,0.23,0.13,0.06,0.03,0.02,636,0.06,0.01,6000,1,59,362.75
0.05,0.12,0.19,0.14,0.06,0.03,0.02,621,0.06,0.01,6000,1,65,370.25
0.04,0.13,0.21,0.13,0.06,0.03,0.02,653,0.06,0.01,6000,1,50,345.5
0.05,0.12,0.2,0.12,0.05,0.03,0.02,644,0.06,0.01,6000,1,58,346.25
0.04,0.14,0.23,0.11,0.06,0.02,0.02,653,0.06,0.01,6000,1,54,331.0
