<2,<5,<10,>10%,>25%,>50%,>75%,total_voxels,avg_filled,med_filled,max,min,median,mean
0.14,0.32,0.48,0.03,0.01,0.0,0.0,516,0.02,0.0,4000,1,10,64.875
0.04,0.12,0.2,0.19,0.11,0.06,0.04,598,0.1,0.02,4000,1,71,391.0
0.03,0.11,0.19,0.19,0.11,0.06,0.04,597,0.1,0.02,4000,1,70,391.5
0.03,0.12,0.2,0.19,0.1,0.06,0.04,599,0.1,0.02,4000,1,69,387.5
0.03,0.12,0.19,0.18,0.1,0.06,0.04,601,0.09,0.02,4000,1,70,379.75
0.03,0.13,0.22,0.17,0.1,0.05,0.03,614,0.09,0.02,4000,1,66,361.5
0.04,0.12,0.21,0.17,0.09,0.05,0.03,612,0.09,0.02,4000,1,66,352.0
0.05,0.15,0.23,0.18,0.1,0.05,0.03,611,0.09,0.02,4000,1,65,343.75
0.05,0.14,0.21,0.17,0.1,0.05,0.03,611,0.09,0.02,4000,1,66,349.75
0.04,0.12,0.2,0.17,0.1,0.05,0.03,610,0.09,0.02,4000,1,69,364.75
0.05,0.11,0.18,0.18,0.1,0.06,0.03,601,0.1,0.02,4000,1,70,384.0
0.04,0.14,0.2,0.19,0.1,0.06,0.04,613,0.1,0.02,4000,1,68,384.5
0.03,0.13,0.21,0.2,0.11,0.06,0.03,613,0.1,0.02,4000,1,69,387.25
0.03,0.12,0.19,0.19,0.11,0.06,0.03,617,0.1,0.02,4000,1,68,381.25
0.04,0.12,0.2,0.19,0.11,0.06,0.03,624,0.09,0.02,4000,1,67,372.0
0.04,0.12,0.2,0.18,0.11,0.05,0.03,633,0.09,0.02,4000,1,64,363.0
0.04,0.13,0.23,0.19,0.1,0.05,0.03,654,0.09,0.02,4000,1,61,346.0
0.04,0.13,0.21,0.19,0.11,0.04,0.03,639,0.09,0.02,4000,1,61,353.5
0.06,0.13,0.23,0.18,0.1,0.05,0.03,659,0.09,0.01,4000,1,58,340.0
0.04,0.13,0.21,0.16,0.1,0.05,0.03,662,0.08,0.01,4000,1,60,338.75
0.04,0.13,0.22,0.18,0.1,0.05,0.03,646,0.09,0.01,4000,1,60,341.0
0.03,0.12,0.2,0.18,0.1,0.05,0.03,641,0.09,0.01,4000,1,58,343.5
0.04,0.11,0.17,0.18,0.1,0.05,0.03,641,0.09,0.02,4000,1,62,342.75
0.02,0.1,0.17,0.19,0.1,0.04,0.03,624,0.09,0.02,4000,1,69,346.0
0.05,0.14,0.22,0.19,0.09,0.05,0.03,628,0.09,0.02,4000,1,61,343.75
0.02,0.1,0.18,0.19,0.09,0.05,0.03,627,0.09,0.02,4000,1,69,341.0
0.05,0.14,0.22,0.17,0.09,0.05,0.03,632,0.08,0.02,4000,1,64,335.75
0.04,0.11,0.18,0.18,0.1,0.05,0.03,617,0.09,0.02,4000,1,68,342.0
0.03,0.12,0.2,0.17,0.09,0.04,0.03,641,0.08,0.01,4000,1,51,322.5
0.04,0.11,0.19,0.17,0.08,0.04,0.03,630,0.08,0.02,4000,1,62,320.75
0.04,0.14,0.23,0.15,0.08,0.05,0.02,641,0.08,0.01,4000,1,55,308.5
0.04,0.13,0.22,0.15,0.08,0.05,0.03,644,0.08,0.01,4000,1,56,315.0
0.06,0.14,0.23,0.15,0.08,0.05,0.03,643,0.08,0.01,4000,1,59,326.75
0.06,0.14,0.23,0.15,0.09,0.04,0.03,647,0.08,0.01,4000,1,56,318.5
0.06,0.15,0.21,0.15,0.08,0.04,0.03,678,0.08,0.01,4000,1,47,307.25
0.07,0.18,0.27,0.14,0.07,0.05,0.03,720,0.07,0.01,4000,1,44,294.75
0.05,0.14,0.25,0.13,0.07,0.05,0.03,726,0.07,0.01,4000,1,45,297.25
0.06,0.19,0.26,0.14,0.08,0.05,0.03,703,0.08,0.01,4000,1,50,306.5
0.06,0.15,0.23,0.14,0.09,0.05,0.03,682,0.08,0.01,4000,1,57,314.0
0.05,0.14,0.24,0.14,0.09,0.06,0.03,696,0.08,0.01,4000,1,47,317.5
0.12,0.33,0.51,0.02,0.01,0.0,0.0,517,0.02,0.0,4000,1,9,66.5625
0.06,0.16,0.25,0.17,0.1,0.06,0.03,659,0.09,0.01,4000,1,51,356.0
0.05,0.17,0.25,0.16,0.1,0.05,0.03,675,0.09,0.01,4000,1,46,348.5
0.06,0.15,0.25,0.16,0.1,0.05,0.03,671,0.09,0.01,4000,1,46,347.0
0.07,0.18,0.25,0.18,0.1,0.06,0.03,668,0.09,0.01,4000,1,47,360.0
