<2,<5,<10,>10%,>25%,>50%,>75%,total_voxels,avg_filled,med_filled,max,min,median,mean
0.14,0.32,0.48,0.05,0.01,0.01,0.0,522,0.02,0.0,2500,1,11,60.9375
0.04,0.12,0.2,0.26,0.15,0.1,0.06,604,0.14,0.03,2500,1,73,340.0
0.03,0.11,0.2,0.26,0.15,0.09,0.06,603,0.14,0.03,2500,1,71,340.0
0.03,0.12,0.2,0.26,0.15,0.09,0.06,605,0.13,0.03,2500,1,71,333.75
0.03,0.12,0.19,0.26,0.14,0.09,0.06,613,0.13,0.03,2500,1,71,327.0
0.03,0.12,0.22,0.26,0.13,0.08,0.05,626,0.13,0.03,2500,1,67,314.0
0.04,0.12,0.21,0.26,0.13,0.08,0.05,624,0.12,0.03,2500,1,67,308.0
0.05,0.14,0.23,0.27,0.13,0.08,0.04,623,0.12,0.03,2500,1,65,304.75
0.05,0.13,0.2,0.26,0.13,0.08,0.05,612,0.12,0.03,2500,1,69,311.0
0.03,0.11,0.19,0.26,0.14,0.08,0.06,611,0.13,0.03,2500,1,73,319.5
0.04,0.11,0.18,0.27,0.15,0.09,0.06,589,0.14,0.03,2500,1,71,340.25
0.03,0.13,0.2,0.27,0.16,0.09,0.06,602,0.14,0.03,2500,1,68,340.5
0.03,0.13,0.21,0.27,0.16,0.09,0.06,611,0.14,0.03,2500,1,69,341.0
0.03,0.11,0.18,0.27,0.15,0.09,0.06,613,0.13,0.03,2500,1,69,337.0
0.04,0.12,0.19,0.27,0.15,0.09,0.06,622,0.13,0.03,2500,1,67,328.0
0.04,0.12,0.19,0.27,0.15,0.09,0.05,627,0.13,0.03,2500,1,65,325.0
0.04,0.13,0.22,0.26,0.14,0.09,0.05,658,0.12,0.02,2500,1,61,307.0
0.04,0.12,0.2,0.25,0.14,0.09,0.05,638,0.13,0.02,2500,1,61,313.0
0.05,0.13,0.22,0.26,0.14,0.08,0.05,659,0.12,0.02,2500,1,59,299.75
0.03,0.13,0.21,0.25,0.14,0.08,0.05,663,0.12,0.02,2500,1,60,298.0
0.05,0.13,0.22,0.25,0.14,0.08,0.05,646,0.12,0.02,2500,1,60,301.75
0.03,0.12,0.19,0.25,0.13,0.09,0.05,635,0.12,0.02,2500,1,59,309.0
0.04,0.11,0.17,0.24,0.14,0.08,0.05,636,0.12,0.03,2500,1,63,302.0
0.03,0.1,0.17,0.25,0.14,0.08,0.05,621,0.12,0.03,2500,1,70,305.5
0.05,0.14,0.21,0.26,0.14,0.07,0.05,627,0.12,0.02,2500,1,61,304.25
0.02,0.1,0.18,0.26,0.14,0.07,0.05,626,0.12,0.03,2500,1,68,303.75
0.05,0.14,0.22,0.26,0.14,0.08,0.05,632,0.12,0.02,2500,1,62,302.0
0.04,0.11,0.18,0.26,0.14,0.07,0.05,615,0.12,0.03,2500,1,68,306.25
0.03,0.12,0.2,0.24,0.13,0.07,0.04,655,0.11,0.02,2500,1,51,282.5
0.04,0.11,0.19,0.25,0.12,0.07,0.05,635,0.11,0.03,2500,1,66,282.75
0.04,0.14,0.23,0.23,0.11,0.07,0.05,649,0.11,0.02,2500,1,55,274.75
0.04,0.13,0.22,0.24,0.11,0.07,0.05,650,0.11,0.02,2500,1,56,280.25
0.06,0.14,0.23,0.23,0.11,0.07,0.06,646,0.11,0.02,2500,1,56,285.0
0.05,0.14,0.23,0.22,0.11,0.08,0.05,649,0.11,0.02,2500,1,54,277.25
0.06,0.15,0.22,0.2,0.11,0.07,0.05,682,0.1,0.02,2500,1,45,261.75
0.07,0.18,0.28,0.2,0.1,0.06,0.05,723,0.1,0.02,2500,1,43,247.0
0.06,0.15,0.26,0.2,0.1,0.06,0.05,712,0.1,0.02,2500,1,44,254.375
0.07,0.2,0.28,0.18,0.11,0.07,0.06,703,0.1,0.02,2500,1,45,259.0
0.06,0.17,0.26,0.2,0.11,0.08,0.05,686,0.11,0.02,2500,1,48,268.75
0.06,0.15,0.26,0.2,0.11,0.07,0.06,702,0.11,0.02,2500,1,43,274.0
0.12,0.33,0.51,0.06,0.02,0.0,0.0,526,0.03,0.0,2500,1,9,64.375
0.06,0.15,0.24,0.22,0.14,0.09,0.06,666,0.12,0.02,2500,1,51,305.5
0.05,0.17,0.25,0.21,0.14,0.08,0.06,688,0.12,0.02,2500,1,46,295.5
