<2,<5,<10,>10%,>25%,>50%,>75%,total_voxels,avg_filled,med_filled,max,min,median,mean
0.13,0.31,0.48,0.01,0.0,0.0,0.0,535,0.01,0.0,5731,1,11,68.9375
0.03,0.12,0.2,0.15,0.07,0.03,0.02,617,0.07,0.01,6500,1,71,423.5
0.02,0.11,0.2,0.14,0.07,0.03,0.02,616,0.07,0.01,6500,1,69,424.5
0.03,0.12,0.21,0.14,0.07,0.03,0.02,618,0.07,0.01,6500,1,67,422.5
0.03,0.11,0.18,0.15,0.06,0.03,0.02,620,0.07,0.01,6500,1,74,426.25
0.03,0.11,0.21,0.14,0.06,0.03,0.02,633,0.06,0.01,6500,1,71,405.25
0.04,0.11,0.2,0.14,0.06,0.03,0.02,631,0.06,0.01,6500,1,73,395.0
0.05,0.13,0.22,0.13,0.06,0.02,0.02,630,0.06,0.01,6500,1,72,385.0
0.05,0.13,0.2,0.13,0.06,0.03,0.02,593,0.06,0.01,6500,1,68,403.5
0.03,0.11,0.19,0.14,0.07,0.03,0.02,592,0.07,0.01,6500,1,72,425.25
0.04,0.11,0.18,0.15,0.07,0.03,0.02,583,0.07,0.01,6500,1,71,445.0
0.03,0.13,0.19,0.16,0.07,0.03,0.02,595,0.07,0.01,6500,1,69,438.25
0.04,0.13,0.22,0.15,0.07,0.03,0.02,608,0.07,0.01,6500,1,71,432.75
0.04,0.12,0.2,0.15,0.07,0.03,0.02,611,0.07,0.01,6500,1,70,426.5
0.05,0.13,0.2,0.15,0.06,0.03,0.02,620,0.06,0.01,6500,1,68,415.0
0.05,0.12,0.2,0.14,0.06,0.02,0.02,629,0.06,0.01,6500,1,65,406.75
0.03,0.12,0.22,0.14,0.06,0.02,0.02,655,0.06,0.01,6500,1,65,391.25
0.04,0.12,0.2,0.14,0.06,0.02,0.02,642,0.06,0.01,6500,1,62,400.5
0.05,0.13,0.22,0.13,0.06,0.03,0.02,661,0.06,0.01,6500,1,61,386.5
0.03,0.13,0.21,0.13,0.06,0.03,0.02,669,0.06,0.01,6500,1,61,378.5
0.04,0.12,0.22,0.14,0.05,0.02,0.02,670,0.06,0.01,6500,1,60,378.75
0.03,0.11,0.19,0.13,0.06,0.02,0.02,662,0.06,0.01,6500,1,59,383.5
0.04,0.11,0.17,0.14,0.05,0.03,0.02,665,0.06,0.01,6500,1,63,384.0
0.02,0.1,0.18,0.14,0.05,0.03,0.02,651,0.06,0.01,6500,1,68,381.75
0.05,0.14,0.22,0.13,0.06,0.03,0.02,644,0.06,0.01,6500,1,60,373.0
0.02,0.11,0.19,0.13,0.06,0.03,0.02,643,0.06,0.01,6500,1,67,369.25
0.05,0.14,0.22,0.13,0.06,0.02,0.02,649,0.06,0.01,6500,1,61,363.75
0.04,0.12,0.18,0.13,0.06,0.03,0.02,634,0.06,0.01,6500,1,66,372.75
0.03,0.12,0.2,0.13,0.05,0.02,0.01,670,0.05,0.01,6500,1,51,349.75
0.04,0.12,0.19,0.12,0.05,0.02,0.02,661,0.05,0.01,6500,1,62,350.5
0.04,0.14,0.23,0.11,0.05,0.02,0.01,671,0.05,0.01,6500,1,55,334.5
