<2,<5,<10,>10%,>25%,>50%,>75%,total_voxels,avg_filled,med_filled,max,min,median,mean
0.13,0.32,0.48,0.04,0.02,0.01,0.0,529,0.02,0.0,3000,1,11,67.5625
0.04,0.12,0.2,0.23,0.14,0.08,0.05,611,0.12,0.02,3000,1,69,358.75
0.03,0.11,0.2,0.23,0.14,0.08,0.06,610,0.12,0.02,3000,1,67,359.25
0.03,0.12,0.2,0.23,0.13,0.08,0.05,611,0.12,0.02,3000,1,66,354.5
0.03,0.12,0.19,0.22,0.13,0.07,0.05,603,0.12,0.02,3000,1,73,349.5
0.03,0.12,0.21,0.22,0.13,0.07,0.05,616,0.11,0.02,3000,1,69,335.25
0.04,0.12,0.2,0.22,0.13,0.07,0.04,614,0.11,0.02,3000,1,68,327.25
0.05,0.14,0.23,0.22,0.12,0.06,0.04,613,0.11,0.02,3000,1,69,321.25
0.04,0.13,0.2,0.22,0.13,0.07,0.05,587,0.11,0.02,3000,1,70,336.0
0.03,0.11,0.18,0.23,0.13,0.07,0.05,586,0.12,0.02,3000,1,74,347.0
0.04,0.1,0.17,0.24,0.14,0.08,0.06,576,0.12,0.02,3000,1,72,366.75
0.03,0.13,0.19,0.24,0.14,0.08,0.05,589,0.12,0.02,3000,1,70,368.0
0.04,0.13,0.21,0.23,0.14,0.08,0.05,616,0.12,0.02,3000,1,69,358.0
0.04,0.12,0.19,0.23,0.14,0.07,0.05,618,0.12,0.02,3000,1,69,353.75
0.04,0.12,0.19,0.23,0.14,0.07,0.04,627,0.11,0.02,3000,1,67,344.5
0.05,0.12,0.2,0.22,0.13,0.07,0.04,639,0.11,0.02,3000,1,64,336.5
0.03,0.13,0.23,0.23,0.13,0.07,0.04,670,0.11,0.02,3000,1,62,325.25
0.04,0.12,0.2,0.23,0.13,0.07,0.04,648,0.11,0.02,3000,1,62,333.5
0.05,0.13,0.22,0.22,0.13,0.06,0.04,668,0.11,0.02,3000,1,60,319.5
0.03,0.13,0.21,0.23,0.13,0.06,0.04,674,0.11,0.02,3000,1,61,317.0
0.04,0.13,0.22,0.22,0.12,0.06,0.04,654,0.11,0.02,3000,1,60,315.25
0.03,0.12,0.19,0.22,0.12,0.07,0.04,650,0.11,0.02,3000,1,59,318.25
