<2,<5,<10,>10%,>25%,>50%,>75%,total_voxels,avg_filled,med_filled,max,min,median,mean
0.14,0.32,0.48,0.02,0.01,0.0,0.0,510,0.01,0.0,5000,1,10,71.5
0.04,0.12,0.2,0.17,0.1,0.05,0.03,589,0.08,0.01,5000,1,75,421.0
0.03,0.11,0.19,0.17,0.1,0.05,0.03,586,0.08,0.01,5000,1,74,423.0
0.03,0.12,0.2,0.16,0.09,0.05,0.03,588,0.08,0.01,5000,1,72,420.5
0.02,0.11,0.18,0.16,0.09,0.05,0.03,602,0.08,0.01,5000,1,73,409.0
0.03,0.12,0.21,0.16,0.09,0.05,0.02,616,0.08,0.01,5000,1,70,388.25
0.04,0.11,0.2,0.16,0.08,0.04,0.02,621,0.07,0.01,5000,1,69,373.5
0.04,0.13,0.22,0.16,0.08,0.04,0.02,618,0.07,0.01,5000,1,69,365.25
0.04,0.12,0.19,0.16,0.08,0.04,0.02,603,0.08,0.01,5000,1,69,379.25
0.03,0.11,0.18,0.16,0.08,0.04,0.03,605,0.08,0.01,5000,1,73,395.25
0.04,0.1,0.18,0.17,0.09,0.05,0.03,590,0.08,0.01,5000,1,71,418.75
0.03,0.13,0.19,0.18,0.09,0.05,0.03,602,0.08,0.01,5000,1,69,415.25
0.03,0.13,0.21,0.17,0.09,0.05,0.03,621,0.08,0.01,5000,1,69,403.5
0.04,0.12,0.19,0.17,0.09,0.04,0.03,624,0.08,0.01,5000,1,68,398.0
0.04,0.12,0.2,0.16,0.09,0.04,0.02,627,0.08,0.01,5000,1,67,389.25
0.05,0.12,0.2,0.16,0.09,0.04,0.02,637,0.08,0.01,5000,1,65,380.0
0.03,0.12,0.22,0.16,0.09,0.03,0.02,642,0.08,0.01,5000,1,67,379.75
0.04,0.12,0.2,0.17,0.09,0.04,0.02,627,0.08,0.01,5000,1,65,389.0
0.05,0.13,0.21,0.16,0.08,0.03,0.02,647,0.08,0.01,5000,1,67,375.25
