<2,<5,<10,>10%,>25%,>50%,>75%,total_voxels,avg_filled,med_filled,max,min,median,mean
0.13,0.32,0.49,0.13,0.05,0.02,0.01,519,0.05,0.01,1000,1,10,51.84375
0.04,0.12,0.2,0.43,0.26,0.17,0.14,601,0.23,0.07,1000,1,71,231.625
0.03,0.11,0.2,0.42,0.26,0.17,0.14,600,0.23,0.07,1000,1,69,230.0
0.03,0.12,0.2,0.43,0.25,0.16,0.13,602,0.23,0.07,1000,1,68,226.75
0.03,0.13,0.2,0.41,0.25,0.16,0.13,618,0.22,0.07,1000,1,69,220.25
0.03,0.13,0.23,0.41,0.25,0.15,0.12,631,0.21,0.07,1000,1,65,214.625
0.04,0.13,0.21,0.42,0.25,0.15,0.12,629,0.22,0.07,1000,1,65,215.375
0.05,0.14,0.23,0.42,0.26,0.15,0.12,618,0.22,0.06,1000,1,64,217.625
0.04,0.13,0.2,0.42,0.26,0.16,0.13,604,0.22,0.07,1000,1,68,221.375
0.03,0.11,0.18,0.44,0.26,0.16,0.13,601,0.22,0.07,1000,1,73,224.75
0.04,0.1,0.17,0.43,0.27,0.17,0.14,591,0.24,0.07,1000,1,72,235.5
0.03,0.14,0.2,0.41,0.27,0.17,0.14,617,0.23,0.07,1000,1,68,230.5
0.04,0.13,0.21,0.41,0.27,0.17,0.14,620,0.23,0.07,1000,1,66,230.5
0.04,0.11,0.19,0.41,0.27,0.17,0.14,622,0.23,0.06,1000,1,64,229.25
0.04,0.12,0.2,0.41,0.27,0.16,0.14,631,0.23,0.07,1000,1,65,225.625
0.04,0.12,0.2,0.41,0.26,0.16,0.13,648,0.22,0.06,1000,1,60,221.375
0.03,0.12,0.22,0.43,0.27,0.16,0.13,632,0.22,0.07,1000,1,65,224.375
0.04,0.12,0.2,0.42,0.27,0.17,0.13,615,0.23,0.06,1000,1,63,229.75
0.05,0.12,0.22,0.41,0.27,0.16,0.13,632,0.22,0.06,1000,1,64,221.5
0.03,0.12,0.2,0.42,0.26,0.15,0.13,639,0.22,0.06,1000,1,63,219.125
0.04,0.12,0.22,0.41,0.25,0.16,0.12,654,0.21,0.06,1000,1,58,214.5
0.03,0.11,0.2,0.4,0.25,0.16,0.12,655,0.21,0.06,1000,1,58,213.0
0.04,0.11,0.18,0.41,0.23,0.15,0.12,660,0.21,0.06,1000,1,62,210.875
0.02,0.09,0.18,0.41,0.25,0.15,0.12,644,0.22,0.07,1000,1,68,215.125
0.05,0.14,0.22,0.4,0.25,0.15,0.12,640,0.21,0.06,1000,1,59,211.375
0.03,0.11,0.18,0.39,0.24,0.14,0.12,639,0.21,0.07,1000,1,66,211.75
0.06,0.14,0.22,0.4,0.25,0.15,0.11,643,0.21,0.06,1000,1,60,209.625
0.04,0.12,0.18,0.42,0.25,0.15,0.12,624,0.22,0.07,1000,1,66,216.375
0.04,0.13,0.21,0.39,0.24,0.15,0.11,654,0.2,0.05,1000,1,50,202.875
0.04,0.12,0.19,0.41,0.24,0.14,0.11,647,0.2,0.06,1000,1,60,201.375
0.05,0.14,0.23,0.41,0.23,0.13,0.09,660,0.19,0.05,1000,1,54,192.375
0.04,0.14,0.23,0.41,0.23,0.13,0.09,654,0.19,0.06,1000,1,56,192.125
0.06,0.14,0.23,0.4,0.23,0.13,0.1,640,0.2,0.06,1000,1,57,197.0
0.05,0.14,0.23,0.38,0.23,0.13,0.1,645,0.19,0.05,1000,1,55,193.0
0.06,0.15,0.21,0.36,0.2,0.13,0.1,676,0.18,0.05,1000,1,47,181.875
0.07,0.18,0.27,0.32,0.2,0.13,0.09,719,0.17,0.04,1000,1,44,171.5
0.06,0.15,0.25,0.38,0.21,0.13,0.09,723,0.18,0.05,1000,1,49,182.5
0.06,0.2,0.27,0.39,0.19,0.13,0.1,709,0.18,0.05,1000,1,50,184.0
0.06,0.16,0.24,0.4,0.21,0.13,0.1,681,0.19,0.06,1000,1,56,192.125
0.05,0.14,0.24,0.37,0.21,0.13,0.1,693,0.19,0.05,1000,1,47,189.625
0.12,0.31,0.49,0.16,0.06,0.02,0.01,534,0.06,0.01,1000,1,10,61.0
0.06,0.15,0.24,0.38,0.23,0.15,0.12,661,0.2,0.05,1000,1,52,204.5
0.06,0.17,0.25,0.36,0.21,0.15,0.12,684,0.2,0.05,1000,1,46,198.0
0.06,0.15,0.25,0.36,0.24,0.16,0.12,676,0.2,0.05,1000,1,45,200.5
0.07,0.16,0.24,0.36,0.23,0.16,0.12,652,0.21,0.05,1000,1,48,206.375
0.08,0.17,0.27,0.39,0.24,0.17,0.13,670,0.21,0.05,1000,1,48,211.0
0.08,0.18,0.24,0.38,0.24,0.17,0.14,696,0.21,0.05,1000,1,52,212.5
0.04,0.16,0.23,0.37,0.22,0.17,0.12,713,0.21,0.05,1000,1,45,205.375
0.06,0.16,0.24,0.35,0.23,0.16,0.13,736,0.21,0.05,1000,1,52,206.875
0.07,0.17,0.26,0.35,0.22,0.14,0.12,803,0.19,0.04,1000,1,38,189.75
0.06,0.17,0.27,0.33,0.2,0.13,0.11,851,0.18,0.04,1000,1,36,179.5
0.07,0.14,0.23,0.33,0.21,0.13,0.1,836,0.18,0.05,1000,1,47,183.25
0.06,0.14,0.23,0.34,0.2,0.13,0.1,848,0.18,0.04,1000,1,42,182.125
0.06,0.14,0.22,0.37,0.21,0.13,0.09,855,0.19,0.05,1000,1,55,185.75
0.06,0.15,0.23,0.34,0.2,0.13,0.09,875,0.18,0.05,1000,1,48,177.25
0.07,0.14,0.24,0.36,0.19,0.12,0.09,874,0.18,0.05,1000,1,49,178.125
0.06,0.16,0.24,0.37,0.19,0.11,0.09,863,0.18,0.05,1000,1,52,177.125
0.07,0.15,0.21,0.39,0.21,0.11,0.09,842,0.18,0.06,1000,1,58,178.875
0.04,0.12,0.2,0.42,0.21,0.11,0.08,825,0.18,0.07,1000,1,69,180.875
0.04,0.11,0.18,0.43,0.22,0.11,0.09,795,0.19,0.08,1000,1,76,189.0
0.04,0.12,0.17,0.42,0.21,0.12,0.09,798,0.19,0.07,1000,1,74,189.5
0.04,0.1,0.17,0.44,0.22,0.11,0.08,792,0.19,0.08,1000,1,80,190.375
0.05,0.09,0.15,0.45,0.23,0.11,0.09,770,0.19,0.09,1000,1,85,194.375
0.03,0.1,0.18,0.43,0.22,0.12,0.08,791,0.19,0.08,1000,1,78,188.25
0.04,0.1,0.16,0.44,0.22,0.12,0.08,790,0.19,0.08,1000,1,80,189.25
0.04,0.11,0.19,0.43,0.22,0.11,0.07,805,0.18,0.07,1000,1,74,183.375
0.07,0.14,0.23,0.41,0.2,0.1,0.07,852,0.17,0.06,1000,1,63,175.0
0.05,0.16,0.23,0.36,0.18,0.1,0.07,975,0.16,0.05,1000,1,50,158.25
0.06,0.15,0.23,0.42,0.23,0.12,0.09,903,0.19,0.06,1000,1,63,192.5
0.05,0.15,0.23,0.37,0.2,0.11,0.08,1000,0.18,0.05,1000,1,50,176.0
