<2,<5,<10,>10%,>25%,>50%,>75%,total_voxels,avg_filled,med_filled,max,min,median,mean
0.13,0.32,0.48,0.03,0.01,0.0,0.0,528,0.02,0.0,3500,1,11,63.4375
0.04,0.12,0.2,0.21,0.12,0.06,0.04,610,0.11,0.02,3500,1,71,372.0
0.03,0.11,0.2,0.21,0.12,0.07,0.05,609,0.11,0.02,3500,1,70,372.5
0.03,0.12,0.2,0.21,0.12,0.06,0.05,611,0.11,0.02,3500,1,69,367.75
0.03,0.13,0.19,0.2,0.11,0.06,0.04,624,0.1,0.02,3500,1,68,355.0
0.03,0.13,0.22,0.19,0.11,0.05,0.04,638,0.1,0.02,3500,1,64,338.75
0.04,0.13,0.21,0.19,0.11,0.05,0.04,636,0.09,0.02,3500,1,61,330.25
0.05,0.15,0.23,0.19,0.1,0.05,0.03,635,0.09,0.02,3500,1,64,322.75
0.05,0.13,0.2,0.2,0.1,0.05,0.04,629,0.1,0.02,3500,1,69,333.0
0.03,0.11,0.18,0.19,0.11,0.06,0.04,627,0.1,0.02,3500,1,73,345.5
0.04,0.1,0.18,0.21,0.11,0.06,0.04,608,0.1,0.02,3500,1,71,366.75
0.03,0.13,0.19,0.21,0.12,0.06,0.05,620,0.11,0.02,3500,1,69,369.0
0.04,0.13,0.21,0.23,0.12,0.06,0.04,635,0.11,0.02,3500,1,73,370.75
0.04,0.11,0.18,0.23,0.12,0.06,0.04,627,0.11,0.02,3500,1,73,370.25
0.04,0.12,0.19,0.21,0.12,0.06,0.04,619,0.1,0.02,3500,1,69,363.75
0.05,0.12,0.2,0.2,0.12,0.05,0.04,636,0.1,0.02,3500,1,65,352.75
0.04,0.12,0.22,0.22,0.11,0.06,0.03,645,0.1,0.02,3500,1,64,342.5
0.04,0.12,0.2,0.21,0.12,0.05,0.04,628,0.1,0.02,3500,1,62,350.75
0.05,0.13,0.21,0.21,0.11,0.05,0.03,646,0.1,0.02,3500,1,60,337.0
0.03,0.13,0.21,0.21,0.12,0.05,0.03,643,0.1,0.02,3500,1,62,338.0
0.04,0.12,0.22,0.2,0.1,0.05,0.03,651,0.09,0.02,3500,1,57,327.75
0.03,0.12,0.19,0.2,0.11,0.06,0.03,647,0.09,0.02,3500,1,56,330.75
0.04,0.11,0.17,0.2,0.1,0.05,0.04,644,0.09,0.02,3500,1,61,330.25
0.02,0.09,0.17,0.2,0.1,0.05,0.03,629,0.09,0.02,3500,1,66,331.25
0.05,0.14,0.22,0.2,0.1,0.05,0.03,656,0.09,0.02,3500,1,59,320.5
0.03,0.11,0.19,0.2,0.1,0.05,0.03,657,0.09,0.02,3500,1,66,317.75
0.05,0.14,0.22,0.2,0.09,0.05,0.03,661,0.09,0.02,3500,1,60,314.5
0.04,0.12,0.19,0.19,0.09,0.05,0.03,646,0.09,0.02,3500,1,65,320.25
0.04,0.13,0.21,0.18,0.1,0.05,0.03,668,0.09,0.01,3500,1,49,302.25
0.05,0.12,0.19,0.18,0.08,0.05,0.03,669,0.08,0.02,3500,1,55,295.5
0.05,0.14,0.24,0.17,0.08,0.05,0.03,678,0.08,0.01,3500,1,52,286.5
0.05,0.14,0.23,0.17,0.09,0.06,0.03,672,0.08,0.02,3500,1,54,296.75
0.06,0.14,0.23,0.18,0.09,0.06,0.04,643,0.09,0.02,3500,1,57,316.75
0.05,0.14,0.23,0.17,0.1,0.06,0.04,648,0.09,0.02,3500,1,54,306.5
0.06,0.15,0.22,0.16,0.08,0.05,0.04,685,0.08,0.01,3500,1,47,292.0
0.07,0.19,0.27,0.16,0.08,0.05,0.03,726,0.08,0.01,3500,1,44,278.75
0.06,0.15,0.25,0.15,0.08,0.06,0.04,706,0.08,0.01,3500,1,45,293.75
0.06,0.19,0.27,0.15,0.09,0.06,0.04,690,0.09,0.01,3500,1,48,299.25
0.06,0.16,0.24,0.15,0.09,0.06,0.04,679,0.09,0.02,3500,1,53,305.5
0.05,0.14,0.24,0.16,0.09,0.07,0.04,691,0.09,0.01,3500,1,47,310.25
0.12,0.32,0.49,0.05,0.02,0.01,0.01,522,0.02,0.0,3500,1,10,82.375
0.06,0.15,0.24,0.19,0.11,0.07,0.04,670,0.1,0.01,3500,1,51,346.5
0.05,0.17,0.25,0.17,0.11,0.07,0.05,687,0.1,0.01,3500,1,45,337.5
0.06,0.15,0.24,0.18,0.11,0.06,0.04,683,0.1,0.01,3500,1,46,336.5
0.07,0.16,0.24,0.2,0.11,0.07,0.04,642,0.1,0.01,3500,1,49,346.5
0.08,0.16,0.27,0.2,0.11,0.06,0.04,664,0.1,0.01,3500,1,50,341.5
0.08,0.17,0.24,0.2,0.12,0.06,0.04,690,0.1,0.02,3500,1,54,344.0
0.05,0.16,0.23,0.19,0.12,0.06,0.04,715,0.1,0.01,3500,1,46,340.0
0.07,0.17,0.24,0.18,0.12,0.06,0.03,735,0.1,0.01,3500,1,51,333.5
0.08,0.18,0.27,0.17,0.1,0.06,0.04,796,0.09,0.01,3500,1,38,314.25
0.06,0.17,0.28,0.16,0.1,0.06,0.03,842,0.09,0.01,3500,1,35,299.75
0.07,0.14,0.23,0.17,0.09,0.06,0.04,829,0.09,0.01,3500,1,48,305.75
0.06,0.14,0.22,0.17,0.09,0.06,0.03,831,0.09,0.01,3500,1,43,306.25
0.06,0.14,0.22,0.17,0.09,0.06,0.03,821,0.09,0.02,3500,1,54,299.0
0.06,0.15,0.23,0.17,0.08,0.04,0.03,848,0.08,0.01,3500,1,48,279.75
0.07,0.14,0.23,0.17,0.08,0.04,0.03,836,0.08,0.01,3500,1,52,280.75
0.06,0.15,0.23,0.16,0.08,0.04,0.02,879,0.07,0.02,3500,1,53,261.75
0.07,0.14,0.21,0.16,0.07,0.04,0.03,859,0.08,0.02,3500,1,62,263.0
0.04,0.11,0.2,0.14,0.07,0.04,0.03,844,0.08,0.02,3500,1,70,265.25
0.04,0.11,0.18,0.15,0.07,0.04,0.02,805,0.08,0.02,3500,1,74,272.75
0.04,0.12,0.17,0.15,0.07,0.04,0.02,822,0.08,0.02,3500,1,73,271.75
0.04,0.1,0.16,0.15,0.07,0.04,0.03,814,0.08,0.02,3500,1,80,275.25
0.05,0.09,0.15,0.15,0.07,0.05,0.03,793,0.08,0.02,3500,1,85,281.5
0.03,0.1,0.18,0.14,0.07,0.04,0.03,814,0.08,0.02,3500,1,77,271.75
0.04,0.09,0.15,0.16,0.08,0.04,0.03,786,0.08,0.02,3500,1,81,286.0
0.04,0.11,0.19,0.16,0.07,0.04,0.03,802,0.08,0.02,3500,1,75,280.75
0.06,0.13,0.22,0.15,0.07,0.04,0.02,854,0.08,0.02,3500,1,66,264.0
0.05,0.16,0.23,0.13,0.06,0.03,0.02,971,0.07,0.01,3500,1,50,231.5
0.05,0.16,0.24,0.15,0.07,0.04,0.03,902,0.07,0.02,3500,1,59,258.25
